Target,Target Type,Metric,Database,Summary,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
tiki.vn,root domain,Organic Traffic,vn,253586250,1300539,1300539,1300539,1496869,1441023,1479325,1417401,1483981,1648672,1607550,1617957,1789993,1152628,1220339,1256248,1178880,1136913,1459998,1493020,1493020,1735359,1655214,2658263,3115962,3375794,2910810,3144058,2663527,2352952,2402913,1848821,1876209,1774020,1820571,1895040,2606679,4074328,4142303,4944157,5190782,4998526,6204435,7316358,8568345,9272730,9815948,9748946,11690639,10928369,13131159,13519184,9975251,11426064,10508616,10639089,7896858,6957830,6524707
tiki.vn,root domain,Organic Keywords,vn,24980331,13058,13058,13058,17065,16732,18763,19217,20487,21925,20254,19129,17895,17005,17334,17867,18359,18811,24753,25108,25108,28974,28505,38209,38888,38282,39067,40418,35611,33438,32260,25641,27078,27044,27094,27933,285563,717154,764900,884767,930504,970454,1144215,1110900,1212696,1221997,1227425,1310940,1320800,1258506,1260968,1255759,1174168,1213965,1120573,1114263,913670,843452,859264
tiki.vn,root domain,Organic Traffic Cost,vn,31778757,63055,63055,63055,76578,75793,76296,74919,77987,94252,92916,98125,101753,87768,103812,115885,101043,100547,140807,141255,141255,147373,147120,266562,308361,339961,287479,325415,266460,245208,227757,183946,178648,168562,172810,176485,719875,1065820,1051438,1160148,1824653,1576696,1436937,871368,969143,1021514,998231,1204706,1374199,1363566,1321726,1368561,1138631,1196060,1120966,1183439,865186,854796,758795
tiki.vn,root domain,Paid Traffic,vn,10500562,157849,0,0,314148,126773,256728,555168,905790,593457,461782,434752,359705,381284,392552,430039,585991,312916,412698,194426,0,258097,292504,124534,214840,104265,181773,191257,145541,146233,71916,103708,79562,86461,76495,38771,53801,96418,65441,74247,71024,67283,68867,124537,69370,70946,70096,67510,65547,67854,64568,67418,54382,64860,54608,43909,46452,40591,38818
tiki.vn,root domain,Paid Keywords,vn,72394,891,0,0,1815,752,968,2538,3706,2650,2572,2302,1589,2434,2453,2167,3071,1548,2150,788,0,1330,1220,564,687,544,1095,895,748,623,198,532,361,264,492,80,2249,3839,2347,2703,1615,1295,1517,1096,1087,1281,1102,778,686,614,632,764,845,631,732,443,737,749,625
tiki.vn,root domain,Paid Traffic Cost,vn,1230983,8924,0,0,22176,9835,17240,37540,78546,47101,35375,35912,26212,34548,39775,43275,61435,29214,39666,17230,0,23713,21840,10113,12674,7409,16637,15410,11189,9891,5180,6358,6654,6262,7495,2840,29057,45816,18705,43162,45127,17903,21836,35162,18651,18934,18486,18193,17904,17953,17527,18060,10978,15956,14622,10272,10552,9324,9134
