Target,Target Type,Metric,Database,Summary,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
shopee.vn,root domain,Organic Traffic,vn,643860212,80559,80559,80559,86791,84268,93145,96431,90914,89978,88623,122889,229134,778813,1052495,1336555,1355522,1411203,1184238,1257409,1257409,1925134,2079085,3212275,3543966,3923365,4299095,4568203,3851804,3877060,3865238,3366691,3014369,2853478,2540620,2548624,4558840,9985486,12286062,15618169,18447276,20874283,21042111,23850149,27211828,27158374,27492462,34337007,36044596,29523400,28151025,28910534,27481597,33593113,27649275,29331919,33475655,31885021,34625529
shopee.vn,root domain,Organic Keywords,vn,45235604,4859,4859,4859,7022,7121,8056,8622,8681,7396,5845,8009,9468,12481,16163,21775,24184,24965,22051,22518,22518,28218,27888,40401,44239,41978,43508,48812,47629,46533,47362,43563,45147,45827,43853,40527,514127,1305574,1479729,1740975,1987088,2079541,2130956,2207544,2231077,2223760,2214861,2398775,2378240,2148235,1981554,2024822,1874327,1927816,1895248,1927927,1933183,1855851,1887457
shopee.vn,root domain,Organic Traffic Cost,vn,59987010,3386,3386,3386,3931,4456,5068,10683,13538,3686,3511,10006,19147,41464,56402,74648,73393,77776,59095,65639,65639,133691,153105,265224,311982,344121,395334,425516,330119,326890,336256,276097,236156,220901,190372,187089,344127,763540,1110934,1465012,1840719,1771574,1999498,2151806,2430839,2326560,2447872,2909721,5039299,2712775,2848164,3102659,2550259,3530126,2390209,2633805,2819841,2930271,3136307
shopee.vn,root domain,Paid Traffic,vn,13277134,64361,0,0,152056,131673,193149,168840,283511,380434,519214,719313,533622,802882,692686,572838,617916,480714,425458,152890,0,246397,325175,329025,268867,211126,303187,163637,142162,148647,87806,51199,84285,53826,84523,64645,39391,168961,200346,54841,125321,133838,124592,124515,137336,138898,124502,155683,169550,167859,171999,179880,260561,307848,181462,172702,213436,249991,217558
shopee.vn,root domain,Paid Keywords,vn,108259,410,0,0,1053,797,1005,1038,1591,1999,2661,3911,2893,4861,4862,2922,3898,2641,2804,694,0,1354,1669,1768,1583,934,1717,658,688,742,312,413,291,140,264,93,1547,2347,4662,3911,643,1518,568,440,640,779,761,1397,2327,2085,2166,1698,2507,6429,6277,2105,3667,4149,2970
shopee.vn,root domain,Paid Traffic Cost,vn,1176445,4326,0,0,10304,9667,14843,10806,21028,27596,37400,56516,44145,56350,53177,47720,48724,36230,33596,10912,0,16945,23400,24756,20496,12917,24535,9552,10319,10129,5215,4156,5102,3939,5695,3958,3789,10712,13211,4997,11007,10479,10399,9940,11172,16196,10184,11886,16566,16326,11831,13368,81285,125152,12216,14879,19295,22433,14668
