,Visited
2017-10-16,549419
2017-10-17,507130
2017-10-18,863455
2017-10-19,575803
2017-10-20,720335
2017-10-21,763313
2017-10-22,679244
2017-10-23,552586
2017-10-24,335897
2017-10-25,573519
2017-10-26,716964
2017-10-27,434676
2017-10-28,674627
2017-10-29,775474
2017-10-30,530048
2017-10-31,402946
2017-11-01,584174
2017-11-02,349939
2017-11-03,708636
2017-11-04,811714
2017-11-05,1048729
2017-11-06,610961
2017-11-07,503504
2017-11-08,174378
2017-11-09,781263
2017-11-10,792456
2017-11-11,542517
2017-11-12,982072
2017-11-13,627652
2017-11-14,482164
2017-11-15,412564
2017-11-16,595484
2017-11-17,498435
2017-11-18,609926
2017-11-19,722044
2017-11-20,667918
2017-11-21,741545
2017-11-22,843350
2017-11-23,707978
2017-11-24,555795
2017-11-25,499378
2017-11-26,595546
2017-11-27,533907
2017-11-28,524520
2017-11-29,619119
2017-11-30,290834
2017-12-01,291000
2017-12-02,431004
2017-12-03,440161
2017-12-04,515184
2017-12-05,376490
2017-12-06,442235
2017-12-07,514871
2017-12-08,417824
2017-12-09,514518
2017-12-10,454232
2017-12-11,489913
2017-12-12,472348
2017-12-13,629063
2017-12-14,271151
2017-12-15,498822
2017-12-16,415080
2017-12-17,358296
2017-12-18,395303
2017-12-19,508331
2017-12-20,386640
2017-12-21,341646
2017-12-22,554344
2017-12-23,452459
2017-12-24,462898
2017-12-25,547783
2017-12-26,644444
2017-12-27,404420
2017-12-28,449354
2017-12-29,450694
2017-12-30,330887
2017-12-31,278356
2018-01-01,341277
2018-01-02,434899
2018-01-03,378247
2018-01-04,445899
2018-01-05,649248
2018-01-06,333398
2018-01-07,413099
2018-01-08,430108
2018-01-09,312927
2018-01-10,389161
2018-01-11,530681
2018-01-12,478106
2018-01-13,421193
2018-01-14,626928
2018-01-15,437859
2018-01-16,228158
2018-01-17,255277
2018-01-18,563265
2018-01-19,462740
2018-01-20,396276
2018-01-21,569197
2018-01-22,487024
2018-01-23,342198
2018-01-24,639086
2018-01-25,550559
2018-01-26,454928
2018-01-27,593975
2018-01-28,347402
2018-01-29,481440
2018-01-30,454412
2018-01-31,692619
2018-02-01,199025
2018-02-02,817989
2018-02-03,866300
2018-02-04,836506
2018-02-05,471275
2018-02-06,810200
2018-02-07,542152
2018-02-08,703643
2018-02-09,719143
2018-02-10,650051
2018-02-11,286506
2018-02-12,438460
2018-02-13,367522
2018-02-14,490656
2018-02-15,670873
2018-02-16,661849
2018-02-17,623809
2018-02-18,376567
2018-02-19,478004
2018-02-20,383688
2018-02-21,591621
2018-02-22,545143
2018-02-23,609506
2018-02-24,471621
2018-02-25,503319
2018-02-26,316532
2018-02-27,392081
2018-02-28,242176
2018-03-01,282953
2018-03-02,391308
2018-03-03,434687
2018-03-04,382281
2018-03-05,568127
2018-03-06,225578
2018-03-07,355406
2018-03-08,427821
2018-03-09,318822
2018-03-10,549180
2018-03-11,485038
2018-03-12,449925
2018-03-13,629263
2018-03-14,433790
2018-03-15,462046
2018-03-16,192073
2018-03-17,335733
2018-03-18,595870
2018-03-19,257939
2018-03-20,451559
2018-03-21,519483
2018-03-22,400050
2018-03-23,502868
2018-03-24,363566
2018-03-25,472270
2018-03-26,567779
2018-03-27,408455
2018-03-28,539250
2018-03-29,469405
2018-03-30,377472
2018-03-31,482140
2018-04-01,390856
2018-04-02,437023
2018-04-03,601261
2018-04-04,375568
2018-04-05,502200
2018-04-06,279725
2018-04-07,593468
2018-04-08,462832
2018-04-09,407543
2018-04-10,518557
2018-04-11,387302
2018-04-12,385376
2018-04-13,417897
2018-04-14,446537
2018-04-15,370421
2018-04-16,444704
2018-04-17,600908
2018-04-18,331441
2018-04-19,399659
2018-04-20,384052
2018-04-21,341921
2018-04-22,620744
2018-04-23,328144
2018-04-24,329080
2018-04-25,442059
2018-04-26,325031
2018-04-27,705034
2018-04-28,314666
2018-04-29,544449
2018-04-30,482696
2018-05-01,395794
2018-05-02,691691
2018-05-03,387208
2018-05-04,349958
2018-05-05,257729
2018-05-06,538022
2018-05-07,448855
2018-05-08,386394
2018-05-09,485260
2018-05-10,362148
2018-05-11,412524
2018-05-12,549183
2018-05-13,377216
2018-05-14,477877
2018-05-15,382161
2018-05-16,607076
2018-05-17,306782
2018-05-18,498181
2018-05-19,233773
2018-05-20,374534
2018-05-21,441854
2018-05-22,372064
2018-05-23,454743
2018-05-24,278858
2018-05-25,503415
2018-05-26,381863
2018-05-27,379996
2018-05-28,196565
2018-05-29,451682
2018-05-30,397121
2018-05-31,564827
2018-06-01,571681
2018-06-02,422566
2018-06-03,530502
2018-06-04,411547
2018-06-05,404265
2018-06-06,594243
2018-06-07,582723
2018-06-08,292848
2018-06-09,532004
2018-06-10,137637
2018-06-11,420140
2018-06-12,496552
2018-06-13,458503
2018-06-14,689880
2018-06-15,334306
