,Visited
2017-10-16,3721
2017-10-17,3844
2017-10-18,3951
2017-10-19,4072
2017-10-20,4079
2017-10-21,4205
2017-10-22,4247
2017-10-23,4498
2017-10-24,4413
2017-10-25,4419
2017-10-26,4743
2017-10-27,4644
2017-10-28,4315
2017-10-29,4497
2017-10-30,4705
2017-10-31,4685
2017-11-01,3788
2017-11-02,3927
2017-11-03,4074
2017-11-04,4381
2017-11-05,4812
2017-11-06,5290
2017-11-07,5901
2017-11-08,5495
2017-11-09,6477
2017-11-10,6766
2017-11-11,7852
2017-11-12,7471
2017-11-13,7415
2017-11-14,7856
2017-11-15,8287
2017-11-16,8377
2017-11-17,8906
2017-11-18,8750
2017-11-19,8800
2017-11-20,9304
2017-11-21,9999
2017-11-22,9978
2017-11-23,9697
2017-11-24,11340
2017-11-25,11178
2017-11-26,11855
2017-11-27,10846
2017-11-28,10899
2017-11-29,11982
2017-11-30,11163
2017-12-01,21987
2017-12-02,23343
2017-12-03,23723
2017-12-04,22317
2017-12-05,23373
2017-12-06,24000
2017-12-07,24540
2017-12-08,23531
2017-12-09,23278
2017-12-10,25562
2017-12-11,26150
2017-12-12,28829
2017-12-13,25910
2017-12-14,25067
2017-12-15,25510
2017-12-16,25413
2017-12-17,27097
2017-12-18,27977
2017-12-19,26944
2017-12-20,28545
2017-12-21,27416
2017-12-22,27509
2017-12-23,29553
2017-12-24,28023
2017-12-25,27638
2017-12-26,27753
2017-12-27,27680
2017-12-28,26296
2017-12-29,27892
2017-12-30,26609
2017-12-31,26591
2018-01-01,29178
2018-01-02,27654
2018-01-03,27891
2018-01-04,28921
2018-01-05,28022
2018-01-06,29708
2018-01-07,31577
2018-01-08,28506
2018-01-09,29448
2018-01-10,30606
2018-01-11,33528
2018-01-12,33264
2018-01-13,30745
2018-01-14,33532
2018-01-15,33686
2018-01-16,33523
2018-01-17,34083
2018-01-18,34291
2018-01-19,34611
2018-01-20,33313
2018-01-21,34750
2018-01-22,34703
2018-01-23,35660
2018-01-24,35231
2018-01-25,34565
2018-01-26,36265
2018-01-27,35952
2018-01-28,34961
2018-01-29,34172
2018-01-30,34170
2018-01-31,33864
2018-02-01,46210
2018-02-02,49724
2018-02-03,44507
2018-02-04,43606
2018-02-05,44860
2018-02-06,45711
2018-02-07,45296
2018-02-08,45804
2018-02-09,45756
2018-02-10,44934
2018-02-11,45762
2018-02-12,46312
2018-02-13,46561
2018-02-14,45893
2018-02-15,45848
2018-02-16,43872
2018-02-17,45756
2018-02-18,42830
2018-02-19,43670
2018-02-20,46387
2018-02-21,46539
2018-02-22,43780
2018-02-23,42440
2018-02-24,41082
2018-02-25,43821
2018-02-26,41911
2018-02-27,40890
2018-02-28,39902
2018-03-01,38108
2018-03-02,41297
2018-03-03,41175
2018-03-04,39241
2018-03-05,38360
2018-03-06,38854
2018-03-07,39538
2018-03-08,42523
2018-03-09,39444
2018-03-10,39375
2018-03-11,40520
2018-03-12,41737
2018-03-13,40602
2018-03-14,39145
2018-03-15,41476
2018-03-16,44886
2018-03-17,40390
2018-03-18,43825
2018-03-19,40966
2018-03-20,42046
2018-03-21,42641
2018-03-22,42934
2018-03-23,41045
2018-03-24,39811
2018-03-25,41470
2018-03-26,40762
2018-03-27,40130
2018-03-28,40638
2018-03-29,40567
2018-03-30,43611
2018-03-31,40276
2018-04-01,46499
2018-04-02,46266
2018-04-03,47371
2018-04-04,53697
2018-04-05,47856
2018-04-06,45814
2018-04-07,48506
2018-04-08,48845
2018-04-09,46952
2018-04-10,48498
2018-04-11,46488
2018-04-12,48512
2018-04-13,47875
2018-04-14,47904
2018-04-15,47566
2018-04-16,45475
2018-04-17,46424
2018-04-18,45541
2018-04-19,46116
2018-04-20,44771
2018-04-21,40621
2018-04-22,41313
2018-04-23,43712
2018-04-24,40288
2018-04-25,39953
2018-04-26,41276
2018-04-27,41418
2018-04-28,38489
2018-04-29,40786
2018-04-30,39906
2018-05-01,32736
2018-05-02,36461
2018-05-03,35025
2018-05-04,36136
2018-05-05,39169
2018-05-06,37135
2018-05-07,36328
2018-05-08,38457
2018-05-09,39126
2018-05-10,37302
2018-05-11,37035
2018-05-12,37979
2018-05-13,37102
2018-05-14,37456
2018-05-15,39640
2018-05-16,38063
2018-05-17,39196
2018-05-18,37768
2018-05-19,39280
2018-05-20,37706
2018-05-21,38086
2018-05-22,39176
2018-05-23,40601
2018-05-24,38389
2018-05-25,38691
2018-05-26,38005
2018-05-27,37452
2018-05-28,37845
2018-05-29,36598
2018-05-30,35937
2018-05-31,36577
2018-06-01,38114
2018-06-02,37859
2018-06-03,40790
2018-06-04,41699
2018-06-05,41453
2018-06-06,46658
2018-06-07,43275
2018-06-08,40191
2018-06-09,37641
2018-06-10,40606
2018-06-11,42704
2018-06-12,39114
2018-06-13,43190
2018-06-14,41259
2018-06-15,40549
2018-06-16,41204
2018-06-17,39042
2018-06-18,40740
2018-06-19,40577
2018-06-20,39719
2018-06-21,41673
2018-06-22,40240
2018-06-23,40501
2018-06-24,37573
2018-06-25,38788
2018-06-26,39133
2018-06-27,38800
2018-06-28,40242
2018-06-29,37281
2018-06-30,36482
2018-07-01,29372
2018-07-02,31896
2018-07-03,32073
2018-07-04,33215
2018-07-05,32577
2018-07-06,34653
2018-07-07,38604
2018-07-08,35666
2018-07-09,37408
2018-07-10,37398
2018-07-11,37086
2018-07-12,38113
2018-07-13,37515
2018-07-14,37630
2018-07-15,40818
2018-07-16,37717
2018-07-17,41405
2018-07-18,40845
2018-07-19,42090
2018-07-20,43684
2018-07-21,41091
2018-07-22,43234
2018-07-23,41689
2018-07-24,41069
2018-07-25,41567
2018-07-26,43474
2018-07-27,41382
2018-07-28,42707
2018-07-29,43435
2018-07-30,43257
2018-07-31,44425
2018-08-01,55860
2018-08-02,55598
2018-08-03,54086
2018-08-04,56490
2018-08-05,57438
2018-08-06,55551
2018-08-07,58861
2018-08-08,61719
2018-08-09,58743
2018-08-10,58721
2018-08-11,55479
2018-08-12,57997
2018-08-13,58288
2018-08-14,57615
2018-08-15,63570
2018-08-16,60520
2018-08-17,58609
2018-08-18,59294
2018-08-19,58232
2018-08-20,61058
2018-08-21,60262
2018-08-22,58754
2018-08-23,61686
2018-08-24,59632
2018-08-25,56973
2018-08-26,55142
2018-08-27,55546
2018-08-28,56245
2018-08-29,57601
2018-08-30,57693
2018-08-31,56719
2018-09-01,48717
2018-09-02,52468
2018-09-03,53067
2018-09-04,54152
2018-09-05,54874
2018-09-06,55467
2018-09-07,56616
2018-09-08,61134
2018-09-09,67677
2018-09-10,64955
2018-09-11,62505
2018-09-12,62043
2018-09-13,62286
2018-09-14,64334
2018-09-15,67073
2018-09-16,66318
2018-09-17,70709
2018-09-18,68214
2018-09-19,70793
2018-09-20,73816
2018-09-21,70962
2018-09-22,65348
2018-09-23,67971
2018-09-24,68519
2018-09-25,75441
2018-09-26,74301
2018-09-27,69546
2018-09-28,71608
2018-09-29,68821
2018-09-30,74192
2018-10-01,78854
2018-10-02,82966
2018-10-03,84164
2018-10-04,83365
2018-10-05,85076
2018-10-06,88335
2018-10-07,91488
2018-10-08,89341
2018-10-09,98080
2018-10-10,104201
2018-10-11,101134
2018-10-12,92406
2018-10-13,90650
2018-10-14,101648
2018-10-15,95436
2018-10-16,99231
2018-10-17,103020
2018-10-18,101853
2018-10-19,104046
2018-10-20,100008
2018-10-21,92065
2018-10-22,106464
2018-10-23,101212
2018-10-24,101727
2018-10-25,101773
2018-10-26,106406
2018-10-27,100599
2018-10-28,103144
2018-10-29,104245
2018-10-30,105137
2018-10-31,105389
2018-11-01,113517
2018-11-02,118328
2018-11-03,115060
2018-11-04,113850
2018-11-05,123578
2018-11-06,118950
2018-11-07,122315
2018-11-08,130008
2018-11-09,120123
2018-11-10,132613
2018-11-11,143353
2018-11-12,133078
2018-11-13,123268
2018-11-14,134181
2018-11-15,127262
2018-11-16,127438
2018-11-17,122680
2018-11-18,130603
2018-11-19,131403
2018-11-20,130102
2018-11-21,132725
2018-11-22,129226
2018-11-23,128554
2018-11-24,120548
2018-11-25,119284
2018-11-26,114664
2018-11-27,123433
2018-11-28,130723
2018-11-29,121378
2018-11-30,124339
2018-12-01,122990
2018-12-02,123611
2018-12-03,127296
2018-12-04,122034
2018-12-05,123395
2018-12-06,130357
2018-12-07,133767
2018-12-08,136082
2018-12-09,133198
2018-12-10,131158
2018-12-11,136373
2018-12-12,152615
2018-12-13,137472
2018-12-14,136086
2018-12-15,127904
2018-12-16,136737
2018-12-17,122999
2018-12-18,131115
2018-12-19,136541
2018-12-20,137405
2018-12-21,134186
2018-12-22,130409
2018-12-23,126941
2018-12-24,128350
2018-12-25,136536
2018-12-26,132846
2018-12-27,125763
2018-12-28,135025
2018-12-29,126760
2018-12-30,120626
2018-12-31,124089
2019-01-01,134867
2019-01-02,123932
2019-01-03,121474
2019-01-04,128369
2019-01-05,125485
2019-01-06,128699
2019-01-07,123298
2019-01-08,129443
2019-01-09,123997
2019-01-10,131334
2019-01-11,136325
2019-01-12,135448
2019-01-13,141139
2019-01-14,139087
2019-01-15,128574
2019-01-16,137433
2019-01-17,137068
2019-01-18,138748
2019-01-19,135293
2019-01-20,139362
2019-01-21,134022
2019-01-22,139256
2019-01-23,141257
2019-01-24,138840
2019-01-25,138352
2019-01-26,128153
2019-01-27,142582
2019-01-28,130832
2019-01-29,133251
2019-01-30,130716
2019-01-31,130480
2019-02-01,170174
2019-02-02,179305
2019-02-03,165514
2019-02-04,164635
2019-02-05,165089
2019-02-06,165490
2019-02-07,164050
2019-02-08,164857
2019-02-09,150844
2019-02-10,162138
2019-02-11,157801
2019-02-12,160681
2019-02-13,157605
2019-02-14,151750
2019-02-15,156391
2019-02-16,152395
2019-02-17,147194
2019-02-18,151016
2019-02-19,149851
2019-02-20,140089
2019-02-21,144040
2019-02-22,142822
2019-02-23,140061
2019-02-24,138591
2019-02-25,138958
2019-02-26,134778
2019-02-27,129114
2019-02-28,126021
2019-03-01,109637
2019-03-02,109080
2019-03-03,119686
2019-03-04,109928
2019-03-05,110556
2019-03-06,114985
2019-03-07,115554
2019-03-08,124823
2019-03-09,112595
2019-03-10,112897
2019-03-11,113296
2019-03-12,111957
2019-03-13,121032
2019-03-14,122482
2019-03-15,121768
2019-03-16,119748
2019-03-17,120130
2019-03-18,113490
2019-03-19,118768
2019-03-20,119624
2019-03-21,120290
2019-03-22,123116
2019-03-23,120103
2019-03-24,112564
2019-03-25,120489
2019-03-26,118696
2019-03-27,112364
2019-03-28,116391
2019-03-29,116948
2019-03-30,109019
2019-03-31,109405
2019-04-01,116525
2019-04-02,112858
2019-04-03,128030
2019-04-04,137411
2019-04-05,126801
2019-04-06,123519
2019-04-07,121671
2019-04-08,113983
2019-04-09,125294
2019-04-10,129647
2019-04-11,129433
2019-04-12,132486
2019-04-13,124583
2019-04-14,121427
2019-04-15,131811
2019-04-16,126494
2019-04-17,130766
2019-04-18,125404
2019-04-19,132327
2019-04-20,126894
2019-04-21,123416
2019-04-22,133183
2019-04-23,120456
2019-04-24,119025
2019-04-25,124177
2019-04-26,118491
2019-04-27,112146
2019-04-28,121706
2019-04-29,117500
2019-04-30,114501
2019-05-01,123225
2019-05-02,128788
2019-05-03,124968
2019-05-04,128438
2019-05-05,140278
2019-05-06,131514
2019-05-07,121393
2019-05-08,123337
2019-05-09,123856
2019-05-10,123578
2019-05-11,123878
2019-05-12,136077
2019-05-13,127403
2019-05-14,126500
2019-05-15,131734
2019-05-16,121738
2019-05-17,125992
2019-05-18,128066
2019-05-19,125206
2019-05-20,125625
2019-05-21,118591
2019-05-22,120036
2019-05-23,123077
2019-05-24,122566
2019-05-25,118224
2019-05-26,118508
2019-05-27,110601
2019-05-28,113314
2019-05-29,109225
2019-05-30,105253
2019-05-31,106254
2019-06-01,110514
2019-06-02,110265
2019-06-03,105882
2019-06-04,107636
2019-06-05,121797
2019-06-06,134077
2019-06-07,114229
2019-06-08,114799
2019-06-09,99331
2019-06-10,110704
2019-06-11,108253
2019-06-12,108354
2019-06-13,118100
2019-06-14,109867
2019-06-15,113132
2019-06-16,102191
2019-06-17,105875
2019-06-18,108019
2019-06-19,113688
2019-06-20,110867
2019-06-21,106836
2019-06-22,101745
2019-06-23,102954
2019-06-24,102315
2019-06-25,98460
2019-06-26,102075
2019-06-27,97644
2019-06-28,101565
2019-06-29,96751
2019-06-30,94085
2019-07-01,91356
2019-07-02,86567
2019-07-03,95402
2019-07-04,96406
2019-07-05,94310
2019-07-06,97827
2019-07-07,105682
2019-07-08,99618
2019-07-09,92732
2019-07-10,97769
2019-07-11,95296
2019-07-12,94667
2019-07-13,90968
2019-07-14,95673
2019-07-15,98860
2019-07-16,96655
2019-07-17,98625
2019-07-18,95809
2019-07-19,102407
2019-07-20,85416
2019-07-21,92209
2019-07-22,95655
2019-07-23,95069
2019-07-24,91547
2019-07-25,86790
2019-07-26,95128
2019-07-27,86046
2019-07-28,85504
2019-07-29,85400
2019-07-30,86607
2019-07-31,81780
2019-08-01,88928
2019-08-02,86132
2019-08-03,86675
2019-08-04,83877
2019-08-05,88678
2019-08-06,87663
2019-08-07,95208
2019-08-08,98441
2019-08-09,91909
2019-08-10,89739
2019-08-11,86245
2019-08-12,83759
2019-08-13,83184
2019-08-14,87048
2019-08-15,89467
2019-08-16,89336
2019-08-17,85485
2019-08-18,86544
2019-08-19,89959
2019-08-20,87364
2019-08-21,87226
2019-08-22,88567
2019-08-23,89456
2019-08-24,81709
2019-08-25,83633
2019-08-26,80100
2019-08-27,82013
2019-08-28,79603
2019-08-29,79817
2019-08-30,73958
2019-08-31,76261
2019-09-01,75037
2019-09-02,73531
2019-09-03,78817
2019-09-04,78569
2019-09-05,82026
2019-09-06,82517
2019-09-07,75493
2019-09-08,82119
2019-09-09,89785
2019-09-10,85482
2019-09-11,84754
2019-09-12,82279
2019-09-13,78573
2019-09-14,83002
2019-09-15,78904
2019-09-16,81647
2019-09-17,80486
2019-09-18,78589
2019-09-19,78558
2019-09-20,84362
2019-09-21,78114
2019-09-22,77593
2019-09-23,74884
2019-09-24,81573
2019-09-25,75185
2019-09-26,72609
2019-09-27,71109
2019-09-28,76771
2019-09-29,77129
2019-09-30,75966
2019-10-01,47060
2019-10-02,50247
2019-10-03,51697
2019-10-04,51206
2019-10-05,53963
2019-10-06,61081
2019-10-07,61007
2019-10-08,65318
2019-10-09,68804
2019-10-10,75204
2019-10-11,67278
2019-10-12,72604
2019-10-13,72863
2019-10-14,73252
2019-10-15,78223
2019-10-16,83677
2019-10-17,81393
2019-10-18,77954
2019-10-19,83530
2019-10-20,84799
2019-10-21,87643
2019-10-22,93637
2019-10-23,94632
2019-10-24,89583
2019-10-25,90256
2019-10-26,97682
2019-10-27,95533
2019-10-28,91304
2019-10-29,94190
2019-10-30,90159
2019-10-31,97167
2019-11-01,101593
2019-11-02,104947
2019-11-03,115451
2019-11-04,117048
2019-11-05,122046
2019-11-06,131066
2019-11-07,141830
2019-11-08,125177
2019-11-09,143159
2019-11-10,152251
2019-11-11,165682
2019-11-12,140950
2019-11-13,153349
2019-11-14,155011
2019-11-15,161803
2019-11-16,167278
2019-11-17,162903
2019-11-18,173797
2019-11-19,174742
2019-11-20,179759
2019-11-21,184998
2019-11-22,186388
2019-11-23,175539
2019-11-24,191973
2019-11-25,196694
2019-11-26,199751
2019-11-27,202862
2019-11-28,199634
2019-11-29,206050
2019-11-30,198624
2019-12-01,278849
2019-12-02,302556
2019-12-03,298417
2019-12-04,305636
2019-12-05,310893
2019-12-06,316125
2019-12-07,321536
2019-12-08,329009
2019-12-09,323040
2019-12-10,296734
2019-12-11,347781
2019-12-12,396970
2019-12-13,355134
2019-12-14,323485
2019-12-15,338369
2019-12-16,339984
2019-12-17,342598
2019-12-18,365503
2019-12-19,342578
2019-12-20,358675
2019-12-21,323016
2019-12-22,354339
2019-12-23,331078
2019-12-24,330570
2019-12-25,352063
2019-12-26,344884
2019-12-27,349004
2019-12-28,334885
2019-12-29,362459
2019-12-30,334227
2019-12-31,324566
2020-01-01,358587
2020-01-02,344032
2020-01-03,334596
2020-01-04,315180
2020-01-05,336162
2020-01-06,346479
2020-01-07,361361
2020-01-08,355529
2020-01-09,364566
2020-01-10,389363
2020-01-11,372382
2020-01-12,376035
2020-01-13,395815
2020-01-14,378985
2020-01-15,388363
2020-01-16,391045
2020-01-17,392881
2020-01-18,392382
2020-01-19,384673
2020-01-20,376844
2020-01-21,406282
2020-01-22,407936
2020-01-23,426341
2020-01-24,405952
2020-01-25,389527
2020-01-26,410662
2020-01-27,408663
2020-01-28,376483
2020-01-29,408173
2020-01-30,405084
2020-01-31,394239
2020-02-01,455456
2020-02-02,521480
2020-02-03,488973
2020-02-04,465482
2020-02-05,487615
2020-02-06,496435
2020-02-07,523374
2020-02-08,485923
2020-02-09,492552
2020-02-10,492940
2020-02-11,507698
2020-02-12,511531
2020-02-13,494516
2020-02-14,477220
2020-02-15,505368
2020-02-16,495540
2020-02-17,509027
2020-02-18,511416
2020-02-19,523537
2020-02-20,527585
2020-02-21,547593
2020-02-22,511157
2020-02-23,566880
2020-02-24,504788
2020-02-25,499257
2020-02-26,509400
2020-02-27,501442
2020-02-28,506458
2020-02-29,482331
2020-03-01,484798
2020-03-02,504585
2020-03-03,538966
2020-03-04,500107
2020-03-05,514204
2020-03-06,505889
2020-03-07,527673
2020-03-08,565028
2020-03-09,548684
2020-03-10,560032
2020-03-11,569754
2020-03-12,562410
2020-03-13,578661
2020-03-14,561140
2020-03-15,561171
2020-03-16,557720
2020-03-17,553847
2020-03-18,548000
2020-03-19,584204
2020-03-20,603667
2020-03-21,571724
2020-03-22,547513
2020-03-23,582650
2020-03-24,565800
2020-03-25,595598
2020-03-26,589108
2020-03-27,581358
2020-03-28,576064
2020-03-29,559370
2020-03-30,570556
2020-03-31,577908
2020-04-01,654808
2020-04-02,628029
2020-04-03,694523
2020-04-04,692819
2020-04-05,659292
2020-04-06,640566
2020-04-07,635939
2020-04-08,704233
2020-04-09,657603
2020-04-10,678551
2020-04-11,698658
2020-04-12,671474
2020-04-13,711521
2020-04-14,678529
2020-04-15,690952
2020-04-16,677420
2020-04-17,656934
2020-04-18,677606
2020-04-19,702181
2020-04-20,687354
2020-04-21,658569
2020-04-22,676719
2020-04-23,671731
2020-04-24,670069
2020-04-25,657973
2020-04-26,669764
2020-04-27,653620
2020-04-28,636360
2020-04-29,617325
2020-04-30,628178
2020-05-01,581069
2020-05-02,578695
2020-05-03,634115
2020-05-04,653137
2020-05-05,715769
2020-05-06,694606
2020-05-07,627348
2020-05-08,626009
2020-05-09,660735
2020-05-10,634386
2020-05-11,705320
2020-05-12,693918
2020-05-13,665962
2020-05-14,682145
2020-05-15,702228
2020-05-16,664052
2020-05-17,723548
2020-05-18,655307
2020-05-19,692122
2020-05-20,687128
2020-05-21,682241
2020-05-22,664082
2020-05-23,669662
2020-05-24,673939
2020-05-25,663058
2020-05-26,697827
2020-05-27,690731
2020-05-28,682863
2020-05-29,720403
2020-05-30,647513
2020-05-31,656546
2020-06-01,710327
2020-06-02,694823
2020-06-03,694241
2020-06-04,715480
2020-06-05,765120
2020-06-06,776327
2020-06-07,754280
2020-06-08,725250
2020-06-09,756743
2020-06-10,740704
2020-06-11,770653
2020-06-12,774133
2020-06-13,768165
2020-06-14,770244
2020-06-15,782629
2020-06-16,811272
2020-06-17,780768
2020-06-18,807025
2020-06-19,784080
2020-06-20,817876
2020-06-21,759303
2020-06-22,754150
2020-06-23,790474
2020-06-24,781918
2020-06-25,788759
2020-06-26,788937
2020-06-27,780218
2020-06-28,741215
2020-06-29,758614
2020-06-30,752401
2020-07-01,826085
2020-07-02,829070
2020-07-03,859038
2020-07-04,765867
2020-07-05,857513
2020-07-06,916316
2020-07-07,960931
2020-07-08,830628
2020-07-09,882433
2020-07-10,855102
2020-07-11,874170
2020-07-12,826493
2020-07-13,896508
2020-07-14,867178
2020-07-15,865647
2020-07-16,870618
2020-07-17,837744
