,Visited
2017-10-16,260107
2017-10-17,269317
2017-10-18,263448
2017-10-19,278961
2017-10-20,284168
2017-10-21,267078
2017-10-22,278339
2017-10-23,275042
2017-10-24,254141
2017-10-25,257225
2017-10-26,263971
2017-10-27,267445
2017-10-28,260386
2017-10-29,265194
2017-10-30,260166
2017-10-31,259635
2017-11-01,399713
2017-11-02,382496
2017-11-03,410927
2017-11-04,384388
2017-11-05,383399
2017-11-06,378475
2017-11-07,364953
2017-11-08,366310
2017-11-09,367979
2017-11-10,358036
2017-11-11,371634
2017-11-12,356819
2017-11-13,336353
2017-11-14,345646
2017-11-15,335957
2017-11-16,334574
2017-11-17,335510
2017-11-18,302799
2017-11-19,319498
2017-11-20,280667
2017-11-21,284092
2017-11-22,285861
2017-11-23,261289
2017-11-24,247081
2017-11-25,253019
2017-11-26,245380
2017-11-27,221532
2017-11-28,209956
2017-11-29,212039
2017-11-30,211390
2017-12-01,159265
2017-12-02,158220
2017-12-03,173340
2017-12-04,164155
2017-12-05,156608
2017-12-06,163019
2017-12-07,170343
2017-12-08,157076
2017-12-09,166266
2017-12-10,164376
2017-12-11,171460
2017-12-12,172668
2017-12-13,173957
2017-12-14,180650
2017-12-15,172019
2017-12-16,171914
2017-12-17,168102
2017-12-18,169150
2017-12-19,166569
2017-12-20,168588
2017-12-21,169832
2017-12-22,165908
2017-12-23,159334
2017-12-24,163244
2017-12-25,164286
2017-12-26,156649
2017-12-27,160287
2017-12-28,159147
2017-12-29,154148
2017-12-30,135047
2017-12-31,150298
2018-01-01,137737
2018-01-02,132862
2018-01-03,140133
2018-01-04,143867
2018-01-05,144361
2018-01-06,155963
2018-01-07,143020
2018-01-08,147673
2018-01-09,163598
2018-01-10,152283
2018-01-11,160039
2018-01-12,160459
2018-01-13,161933
2018-01-14,159842
2018-01-15,160346
2018-01-16,163744
2018-01-17,173569
2018-01-18,158499
2018-01-19,157548
2018-01-20,168326
2018-01-21,165360
2018-01-22,172855
2018-01-23,155495
2018-01-24,165182
2018-01-25,160496
2018-01-26,157430
2018-01-27,163064
2018-01-28,155037
2018-01-29,167333
2018-01-30,149956
2018-01-31,149891
2018-02-01,195035
2018-02-02,191511
2018-02-03,209409
2018-02-04,186701
2018-02-05,191374
2018-02-06,182263
2018-02-07,188295
2018-02-08,200621
2018-02-09,202674
2018-02-10,197430
2018-02-11,195698
2018-02-12,192506
2018-02-13,196700
2018-02-14,200065
2018-02-15,205067
2018-02-16,194694
2018-02-17,190388
2018-02-18,190611
2018-02-19,187653
2018-02-20,189084
2018-02-21,180862
2018-02-22,173330
2018-02-23,180157
2018-02-24,168793
2018-02-25,175573
2018-02-26,166935
2018-02-27,166127
2018-02-28,166665
2018-03-01,149568
2018-03-02,163266
2018-03-03,160823
2018-03-04,159542
2018-03-05,164382
2018-03-06,164801
2018-03-07,165182
2018-03-08,170459
2018-03-09,165571
2018-03-10,177480
2018-03-11,162381
2018-03-12,168866
2018-03-13,164333
2018-03-14,170673
2018-03-15,171874
2018-03-16,166908
2018-03-17,164786
2018-03-18,177898
2018-03-19,167981
2018-03-20,177412
2018-03-21,171346
2018-03-22,169577
2018-03-23,173475
2018-03-24,168967
2018-03-25,177948
2018-03-26,162385
2018-03-27,147547
2018-03-28,169551
2018-03-29,164593
2018-03-30,152456
2018-03-31,155116
2018-04-01,164060
2018-04-02,171337
2018-04-03,175734
2018-04-04,186988
2018-04-05,182714
2018-04-06,178324
2018-04-07,181415
2018-04-08,178001
2018-04-09,186008
2018-04-10,182782
2018-04-11,181598
2018-04-12,176260
2018-04-13,188837
2018-04-14,185121
2018-04-15,194044
2018-04-16,186330
2018-04-17,183733
2018-04-18,181533
2018-04-19,181571
2018-04-20,180334
2018-04-21,166365
2018-04-22,179283
2018-04-23,172967
2018-04-24,172671
2018-04-25,174275
2018-04-26,164101
2018-04-27,166359
2018-04-28,162535
2018-04-29,164035
2018-04-30,149321
2018-05-01,159127
2018-05-02,160384
2018-05-03,173238
2018-05-04,178285
2018-05-05,169618
2018-05-06,172676
2018-05-07,171837
2018-05-08,166347
2018-05-09,177065
2018-05-10,183860
2018-05-11,181030
2018-05-12,177084
2018-05-13,176824
2018-05-14,178020
2018-05-15,173845
