Target,Target Type,Metric,Database,Summary,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09
thegioididong.com,root domain,Organic Traffic,vn,1131998733,14284884,14284884,14284884,15786887,16048763,18347421,18720980,18629483,19924819,18442801,18565676,18418515,13739763,14141601,15066232,13332152,13171167,12945370,12821467,12821467,13287768,12318076,12418104,12426445,12588673,12585866,12970761,11631922,12123888,11884112,12824574,13297143,12842273,12672340,14164568,15909401,21047588,22890121,24194674,24287257,25371982,25081237,25479763,26265587,28100433,28318041,28505718,29508664,27880903,27013013,27014707,27082552,28321080,29514335,30655635,34187974,34063209,37489130
thegioididong.com,root domain,Organic Keywords,vn,21042983,21630,21630,21630,31158,30472,36022,37201,36833,37692,35270,35047,33145,34303,33388,35297,30865,30139,28457,28393,28393,31829,34568,33958,33821,34813,34017,36034,35787,33778,33295,33006,32704,32208,32254,33470,263019,634422,722169,798456,804019,846097,842505,786087,826555,854220,890477,934862,944309,867594,846136,890885,870967,908046,928687,997266,1139644,1139414,1174640
thegioididong.com,root domain,Organic Traffic Cost,vn,576935405,981659,981659,981659,1198916,1202967,1374983,1475277,1558413,1571977,1413039,1409083,1408372,881346,1187321,1272224,1125380,1096176,1053545,1048657,1048657,1126631,1046480,1035598,1037110,1056839,1084375,1132948,981887,1013804,997018,1102135,1104178,1089409,1068251,1159496,1490575,2493128,2713753,2943743,4137045,6571308,3430944,18445030,22650062,22890163,21178279,18299483,17699494,18778186,18661419,18972572,14443769,101055553,64850346,33542261,72682517,12764781,35933525
thegioididong.com,root domain,Paid Traffic,vn,4109463,42988,0,0,246675,46006,207243,582160,125438,159784,233210,199551,285110,53629,265910,48336,42719,255255,156205,18062,0,73083,54274,59441,60233,30525,72796,58010,14619,39014,9534,33713,11148,11263,140291,7408,11017,9252,17602,2878,10396,2657,6184,14587,12752,14114,15790,20149,20578,189626,10474,16162,21269,22450,5919,9609,9737,15607,7021
thegioididong.com,root domain,Paid Keywords,vn,9769,120,0,0,524,109,353,639,309,343,557,529,332,224,349,144,194,307,331,72,0,164,129,148,146,83,182,96,61,57,10,75,41,42,43,11,130,216,186,59,124,57,74,265,148,148,152,143,88,136,96,91,169,179,174,95,125,135,55
thegioididong.com,root domain,Paid Traffic Cost,vn,352255,4357,0,0,20000,3121,17024,33292,10243,10721,21255,14732,14274,3973,16657,4752,3764,15924,15588,1615,0,7770,6279,8065,5501,3639,6053,4457,1347,5467,1658,3485,997,1221,5950,742,820,1011,2816,176,838,177,667,2816,10594,3531,13789,10013,1543,14431,649,956,1255,1767,439,7381,867,1088,708
